#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.890379611599999521e+01,2.500000000000000000e+00,5.145242011340344312e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.215864615410000056e+02,3.000000000000000000e+00,3.470353085023593298e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.534751291919999971e+02,3.500000000000000000e+00,2.373766305854189795e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.367589936180000052e+02,4.000000000000000000e+00,2.055402159188251421e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.242780935830000004e+02,4.500000000000000000e+00,1.769394578059004353e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.347122521519999339e+01,2.500000000000000000e+00,5.688737704831805075e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.143379016049999990e+02,3.000000000000000000e+00,3.120464644099077756e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.422799061560000098e+02,3.500000000000000000e+00,2.086120694325107827e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.724051084570000114e+01,4.000000000000000000e+00,1.810902894665112450e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.325941616839999995e+02,4.500000000000000000e+00,1.651802079056512440e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.988393251120000116e+01,2.500000000000000000e+00,4.993157969971558252e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.047764149759999981e+02,3.000000000000000000e+00,3.593065596157162034e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.532004317850000064e+02,3.500000000000000000e+00,2.476455870530446912e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.045029462239999418e+01,4.000000000000000000e+00,1.707833663197026342e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.153770099439999939e+02,4.500000000000000000e+00,1.809774665364072721e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000178e+01
5.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.367828080639999655e+01,2.500000000000000000e+00,4.824783490716402667e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
